Date,KO,PEP
2018-01-02,35.742027282714844,93.32516479492188
2018-01-03,35.663536071777344,93.08011627197266
2018-01-04,36.165836334228516,93.53858184814453
2018-01-05,36.157997131347656,93.8073501586914
2018-01-08,36.10304641723633,93.26982879638672
2018-01-09,36.2835807800293,93.34095001220703
2018-01-10,36.157997131347656,92.86669921875
2018-01-11,36.134456634521484,92.39237976074219
2018-01-12,36.22078323364258,92.78760528564453
2018-01-16,36.519039154052734,93.16705322265625
2018-01-17,36.74663162231445,94.21051025390625
2018-01-18,36.793724060058594,94.10774993896484
2018-01-19,37.01348876953125,94.99309539794922
2018-01-22,37.18614959716797,96.05236053466797
2018-01-23,37.24109649658203,95.88633728027344
2018-01-24,37.53933334350586,95.7598876953125
2018-01-25,37.547183990478516,95.57014465332031
2018-01-26,38.08872604370117,96.24996185302734
2018-01-29,37.43730545043945,94.59783935546875
2018-01-30,37.20969009399414,94.77175903320312
2018-01-31,37.35096740722656,95.0958251953125
2018-02-01,37.24109649658203,95.0958251953125
2018-02-02,36.67599868774414,93.8073501586914
2018-02-05,35.23186492919922,90.47940826416016
2018-02-06,35.059200286865234,89.76795959472656
2018-02-07,34.972877502441406,89.72052764892578
2018-02-08,33.82699203491211,87.07240295410156
2018-02-09,33.850547790527344,87.88660430908203
2018-02-12,34.50980758666992,88.47946166992188
2018-02-13,34.6824836730957,88.64545440673828
2018-02-14,34.61184310913086,86.25029754638672
2018-02-15,35.145545959472656,87.72059631347656
2018-02-16,35.302513122558594,87.79173278808594
2018-02-20,34.5255126953125,86.54277038574219
2018-02-21,34.01535415649414,85.37284088134766
2018-02-22,34.156639099121094,86.36885070800781
2018-02-23,34.56475830078125,86.70087432861328
2018-02-26,34.55690002441406,87.69686126708984
2018-02-27,34.235111236572266,87.6573257446289
2018-02-28,33.921180725097656,86.7403793334961
2018-03-01,34.085994720458984,86.09931945800781
2018-03-02,34.313602447509766,86.83196258544922
2018-03-05,34.447025299072266,87.14252471923828
2018-03-06,34.47841262817383,87.26197814941406
2018-03-07,34.39209747314453,87.46902465820312
2018-03-08,34.88655090332031,89.25279998779297
2018-03-09,35.17693328857422,89.61910247802734
2018-03-12,34.9493293762207,89.78633117675781
2018-03-13,34.98072052001953,90.4632339477539
2018-03-14,34.66400909423828,89.67485809326172
2018-03-15,34.5769157409668,89.18111419677734
2018-03-16,34.41063690185547,88.90242004394531
2018-03-19,34.252296447753906,87.88311767578125
2018-03-20,34.17310333251953,87.51680755615234
2018-03-21,34.04643630981445,86.5930404663086
2018-03-22,33.85639953613281,85.95599365234375
2018-03-23,33.51594161987305,84.53057098388672
2018-03-26,33.80097198486328,85.05613708496094
2018-03-27,33.959327697753906,85.71710205078125
2018-03-28,34.29978942871094,86.94345092773438
2018-03-29,34.38689422607422,86.91956329345703
2018-04-02,33.7851448059082,85.24726104736328
2018-04-03,34.3473014831543,86.15506744384766
2018-04-04,35.028236389160156,87.73976135253906
2018-04-05,35.15492630004883,88.05033874511719
2018-04-06,34.77486038208008,87.03899383544922
2018-04-09,34.7036018371582,87.10271453857422
2018-04-10,34.830291748046875,87.11863708496094
2018-04-11,34.830291748046875,86.5452880859375
2018-04-12,34.86195755004883,86.25062561035156
2018-04-13,35.242008209228516,87.00714874267578
2018-04-16,35.376609802246094,87.53272247314453
2018-04-17,35.534969329833984,86.69658660888672
2018-04-18,35.242008209228516,85.1915283203125
2018-04-19,35.08364486694336,84.06869506835938
2018-04-20,34.63234329223633,81.6080322265625
2018-04-23,34.822357177734375,81.68766784667969
2018-04-24,34.10184097290039,80.77983093261719
2018-04-25,33.59511184692383,80.54890441894531
2018-04-26,33.848487854003906,82.22915649414062
2018-04-27,34.291866302490234,80.9948501586914
2018-04-30,34.21269607543945,80.38167572021484
2018-05-01,33.72179412841797,78.94032287597656
2018-05-02,33.30215835571289,77.4272689819336
2018-05-03,33.16755294799805,77.7219467163086
2018-05-04,33.53969192504883,78.82884216308594
2018-05-07,33.36549758911133,78.22361755371094
2018-05-08,33.10421371459961,77.07691192626953
2018-05-09,33.08045196533203,76.57521057128906
2018-05-10,33.397159576416016,77.45913696289062
2018-05-11,33.36549758911133,77.58655548095703
2018-05-14,33.286312103271484,77.36357879638672
2018-05-15,33.03295135498047,77.08486938476562
2018-05-16,32.89834213256836,77.39542388916016
2018-05-17,33.492183685302734,77.97673797607422
2018-05-18,33.397159576416016,77.65026092529297
2018-05-21,33.579280853271484,79.24293518066406
2018-05-22,33.45259094238281,79.57738494873047
2018-05-23,33.57135772705078,79.9914779663086
2018-05-24,33.50801467895508,79.7764663696289
2018-05-25,33.57135772705078,79.8799819946289
2018-05-29,33.79304504394531,80.50908660888672
2018-05-30,34.14936065673828,81.09042358398438
2018-05-31,34.04643630981445,80.5664291381836
2018-06-01,34.14143371582031,80.5664291381836
2018-06-04,34.43439483642578,80.46195220947266
2018-06-05,34.133522033691406,80.53428649902344
2018-06-06,34.41063690185547,81.03256225585938
2018-06-07,34.394798278808594,81.29776763916016
2018-06-08,34.79861831665039,82.36660766601562
2018-06-11,34.94113540649414,82.94525146484375
2018-06-12,35.1628303527832,83.96587371826172
2018-06-13,34.98072814941406,84.60078430175781
2018-06-14,34.81296920776367,84.48826599121094
2018-06-15,35.24433135986328,86.48133850097656
2018-06-18,34.789005279541016,84.689208984375
2018-06-19,34.82894515991211,85.15530395507812
2018-06-20,34.557350158691406,85.03474426269531
2018-06-21,34.421531677246094,86.18397521972656
2018-06-22,34.549346923828125,87.09210968017578
2018-06-25,34.81296920776367,87.59037017822266
