Date,CSCO
2018-01-02,30.596412658691406
2018-01-03,30.840482711791992
2018-01-04,30.92774200439453
2018-01-05,31.35607147216797
2018-01-08,31.681306838989258
2018-01-09,31.482994079589844
2018-01-10,31.657503128051758
2018-01-11,31.808210372924805
2018-01-12,32.41899490356445
2018-01-16,32.15723419189453
2018-01-17,32.68075942993164
2018-01-18,32.76008605957031
2018-01-19,32.75215148925781
2018-01-22,33.04563522338867
2018-01-23,33.39464569091797
2018-01-24,33.450191497802734
2018-01-25,33.23601150512695
2018-01-26,33.75953674316406
2018-01-29,33.98957061767578
2018-01-30,33.51363754272461
2018-01-31,32.95045852661133
2018-02-01,33.07736587524414
2018-02-02,32.46659469604492
2018-02-05,30.76116180419922
2018-02-06,31.863740921020508
2018-02-07,31.99858283996582
2018-02-08,30.753232955932617
2018-02-09,31.35607147216797
2018-02-12,32.204830169677734
2018-02-13,32.704559326171875
2018-02-14,33.3867301940918
2018-02-15,34.965240478515625
2018-02-16,35.16353988647461
2018-02-20,34.949378967285156
2018-02-21,34.354469299316406
2018-02-22,34.060970306396484
2018-02-23,34.901771545410156
2018-02-26,35.980567932128906
2018-02-27,35.72673034667969
2018-02-28,35.5204963684082
2018-03-01,34.743125915527344
2018-03-02,34.949378967285156
2018-03-05,35.31425094604492
2018-03-06,35.1318244934082
2018-03-07,35.0604248046875
2018-03-08,35.171485900878906
2018-03-09,35.988494873046875
2018-03-12,36.13127899169922
2018-03-13,35.82191848754883
2018-03-14,35.91709518432617
2018-03-15,35.95677185058594
2018-03-16,35.70294189453125
2018-03-19,35.115962982177734
2018-03-20,35.19527816772461
2018-03-21,35.147674560546875
2018-03-22,34.16407775878906
2018-03-23,33.64849090576172
2018-03-26,34.949378967285156
2018-03-27,33.85472869873047
2018-03-28,33.04563522338867
2018-03-29,34.02131271362305
2018-04-02,32.53004455566406
2018-04-03,32.82354736328125
2018-04-04,32.9434814453125
2018-04-05,33.43922424316406
2018-04-06,32.56766891479492
2018-04-09,32.919490814208984
2018-04-10,33.99094772338867
2018-04-11,33.92698669433594
2018-04-12,34.65462112426758
2018-04-13,34.38275146484375
2018-04-16,34.62263488769531
2018-04-17,35.65412902832031
2018-04-18,35.68610382080078
2018-04-19,35.63013458251953
2018-04-20,35.25432205200195
2018-04-23,35.38226318359375
2018-04-24,34.97446060180664
2018-04-25,34.950477600097656
2018-04-26,35.35026931762695
2018-04-27,35.75008010864258
2018-04-30,35.414249420166016
2018-05-01,35.84602737426758
2018-05-02,35.070411682128906
2018-05-03,35.5341682434082
2018-05-04,36.22183609008789
2018-05-07,36.565673828125
2018-05-08,36.5496711730957
2018-05-09,36.813541412353516
2018-05-10,37.02143478393555
2018-05-11,36.72557830810547
2018-05-14,36.54167556762695
2018-05-15,36.36576461791992
2018-05-16,36.109886169433594
2018-05-17,34.75056838989258
2018-05-18,34.55067825317383
2018-05-21,34.982460021972656
2018-05-22,34.902496337890625
2018-05-23,34.92647933959961
2018-05-24,34.838531494140625
2018-05-25,34.59065246582031
2018-05-29,34.35877990722656
2018-05-30,34.262813568115234
2018-05-31,34.150875091552734
2018-06-01,34.91048812866211
2018-06-04,34.846519470214844
2018-06-05,34.91849136352539
2018-06-06,35.39025115966797
2018-06-07,34.902496337890625
2018-06-08,34.76655960083008
2018-06-11,34.934486389160156
2018-06-12,35.134376525878906
2018-06-13,35.19035720825195
2018-06-14,35.73407745361328
2018-06-15,35.38226318359375
2018-06-18,35.35026931762695
2018-06-19,35.03842544555664
2018-06-20,34.97446060180664
2018-06-21,34.51069259643555
2018-06-22,34.54267883300781
2018-06-25,33.815040588378906
2018-06-26,34.02294158935547
2018-06-27,33.847023010253906
2018-06-28,34.33478546142578
2018-06-29,34.40673828125
2018-07-02,34.230838775634766
2018-07-03,34.118892669677734
2018-07-05,34.296165466308594
2018-07-06,34.417049407958984
2018-07-09,34.38481521606445
2018-07-10,34.53791809082031
2018-07-11,34.30423355102539
2018-07-12,35.11812210083008
2018-07-13,33.667625427246094
2018-07-16,34.24781799316406
2018-07-17,34.118892669677734
2018-07-18,34.01411819458008
2018-07-19,34.167236328125
2018-07-20,33.852962493896484
2018-07-23,33.89326095581055
2018-07-24,34.1591796875
2018-07-25,34.779666900634766
2018-07-26,35.077816009521484
2018-07-27,34.30423355102539
2018-07-30,33.981895446777344
2018-07-31,34.07859802246094
2018-08-01,33.73208236694336
2018-08-02,34.27199172973633
2018-08-03,34.51374435424805
2018-08-06,34.89248275756836
2018-08-07,35.11812210083008
2018-08-08,35.32762908935547
2018-08-09,35.27928924560547
2018-08-10,35.27928924560547
2018-08-13,35.25511169433594
2018-08-14,35.456573486328125
2018-08-15,35.343753814697266
2018-08-16,36.39132308959961
2018-08-17,36.963470458984375
2018-08-20,37.245513916015625
2018-08-21,36.890953063964844
2018-08-22,37.0601806640625
2018-08-23,37.0843505859375
2018-08-24,37.32609939575195
2018-08-27,37.54366683959961
2018-08-28,37.833763122558594
2018-08-29,38.2608528137207
2018-08-30,37.99494552612305
2018-08-31,38.49455261230469
2018-09-04,38.46232223510742
2018-09-05,38.091636657714844
2018-09-06,38.09969711303711
2018-09-07,37.91435623168945
2018-09-10,37.93046951293945
2018-09-11,37.89823532104492
2018-09-12,37.78542709350586
2018-09-13,38.06745910644531
2018-09-14,38.19639587402344
2018-09-17,37.962703704833984
2018-09-18,38.244747161865234
2018-09-19,38.09969711303711
2018-09-20,38.46232223510742
2018-09-21,39.13115692138672
2018-09-24,39.034461975097656
2018-09-25,39.05864334106445
2018-09-26,39.010276794433594
