Date,NKE,ADDYY
2018-01-02,57.670406341552734,93.54190063476562
2018-01-03,57.66133117675781,93.83903503417969
2018-01-04,57.62498474121094,95.45471954345703
2018-01-05,58.115482330322266,96.50396728515625
2018-01-08,58.63324737548828,96.09541320800781
2018-01-09,58.21540451049805,93.86688995361328
2018-01-10,58.33349609375,93.27262115478516
2018-01-11,58.3970832824707,93.40261840820312
2018-01-12,58.74224853515625,95.584716796875
2018-01-16,57.6068229675293,95.68685150146484
2018-01-17,57.9610710144043,94.99971771240234
2018-01-18,58.233577728271484,97.19108581542969
2018-01-19,61.0494270324707,103.8116455078125
2018-01-22,60.30459976196289,104.28519439697266
2018-01-23,60.985836029052734,106.08659362792969
2018-01-24,61.76700210571289,106.59728240966797
2018-01-25,61.50357437133789,105.5108871459961
2018-01-26,61.803340911865234,106.7179946899414
2018-01-29,61.385498046875,105.87301635742188
2018-01-30,61.15842056274414,106.3372802734375
2018-01-31,61.96685028076172,107.76725006103516
2018-02-01,61.4490966796875,106.53229522705078
2018-02-02,61.05851745605469,103.61664581298828
2018-02-05,58.4879035949707,99.02033233642578
2018-02-06,59.241817474365234,102.33524322509766
2018-02-07,59.614261627197266,103.72808074951172
2018-02-08,56.76206970214844,101.30455780029297
2018-02-09,59.487091064453125,101.27670288085938
2018-02-12,59.93217086791992,102.00096893310547
2018-02-13,59.8322639465332,101.53669738769531
2018-02-14,61.73065948486328,102.89238739013672
2018-02-15,62.030433654785156,103.35665130615234
2018-02-16,62.03951644897461,104.05306243896484
2018-02-20,61.30374526977539,104.38733673095703
2018-02-21,60.904090881347656,102.45594787597656
2018-02-22,60.97675323486328,103.02238464355469
2018-02-23,61.91234588623047,104.20162963867188
2018-02-26,63.2657585144043,104.26663970947266
2018-02-27,61.79427719116211,103.01309967041016
2018-02-28,60.885929107666016,102.90166473388672
2018-03-01,60.24098587036133,99.54960632324219
2018-03-02,60.031455993652344,99.6703109741211
2018-03-05,59.26613998413086,100.92386627197266
2018-03-06,59.439247131347656,100.71029663085938
2018-03-07,58.464385986328125,100.94242095947266
2018-03-08,59.32080841064453,100.17173767089844
2018-03-09,60.40498733520508,99.14103698730469
2018-03-12,60.87876892089844,98.19393920898438
2018-03-13,60.286556243896484,99.13175964355469
2018-03-14,60.31389617919922,108.45438385009766
2018-03-15,60.48701095581055,110.32074737548828
2018-03-16,60.0496711730957,111.10074615478516
2018-03-19,59.86743927001953,110.4693374633789
2018-03-20,60.86055374145508,111.05431365966797
2018-03-21,60.45055389404297,112.79998016357422
2018-03-22,58.6921501159668,112.09429168701172
2018-03-23,58.883480072021484,111.3328857421875
2018-03-26,60.04056930541992,113.06925964355469
2018-03-27,60.286556243896484,110.74789428710938
2018-03-28,59.62146759033203,110.4971923828125
2018-03-29,60.53255844116211,113.06925964355469
2018-04-02,58.4188346862793,111.97357940673828
2018-04-03,60.76942443847656,111.9178695678711
2018-04-04,62.33649826049805,114.16495513916016
2018-04-05,63.40248107910156,116.08704376220703
2018-04-06,61.54387664794922,115.7713394165039
2018-04-09,61.206756591796875,115.87348175048828
2018-04-10,61.042762756347656,117.9255599975586
2018-04-11,60.887882232666016,118.34342193603516
2018-04-12,61.74428176879883,120.33049774169922
2018-04-13,61.270538330078125,120.5347900390625
2018-04-16,61.09741973876953,121.30548095703125
2018-04-17,61.507415771484375,122.52188110351562
2018-04-18,60.31389617919922,122.75402069091797
2018-04-19,59.88568115234375,120.5626449584961
2018-04-20,60.21367645263672,120.70193481445312
2018-04-23,60.933433532714844,119.64339447021484
2018-04-24,61.01542663574219,115.15849304199219
2018-04-25,60.74208450317383,114.44351959228516
2018-04-26,61.9994010925293,114.48065948486328
2018-04-27,63.37513732910156,115.40919494628906
2018-04-30,62.309173583984375,114.17423248291016
2018-05-01,62.04494857788086,113.91425323486328
2018-05-02,62.19075012207031,115.13992309570312
2018-05-03,60.9516487121582,108.98365783691406
2018-05-04,62.04494857788086,106.88513946533203
2018-05-07,63.17470932006836,107.78582763671875
2018-05-08,62.372947692871094,107.19155883789062
2018-05-09,61.90830993652344,105.65945434570312
2018-05-10,61.88095474243164,107.5950927734375
2018-05-11,62.34561538696289,106.55899810791016
2018-05-14,62.71915817260742,106.40827178955078
2018-05-15,63.32048797607422,105.29681396484375
2018-05-16,64.99687957763672,108.02838134765625
2018-05-17,64.63243865966797,108.43339538574219
2018-05-18,64.97864532470703,108.16024780273438
2018-05-21,65.03330993652344,109.13041687011719
2018-05-22,64.96952819824219,108.35804748535156
2018-05-23,64.99687957763672,107.29368591308594
2018-05-24,65.76216125488281,107.37846374511719
2018-05-25,65.8259506225586,106.07860565185547
2018-05-29,64.61421203613281,104.27954864501953
2018-05-30,65.80773162841797,108.3392105102539
2018-05-31,65.41595458984375,107.1806411743164
2018-06-01,66.47578430175781,106.52130126953125
2018-06-04,67.45336151123047,107.62335205078125
2018-06-05,67.65436553955078,108.48991394042969
2018-06-06,68.29389190673828,113.52916717529297
2018-06-07,68.30304718017578,109.56369018554688
2018-06-08,68.43094635009766,110.74110412597656
2018-06-11,68.14771270751953,110.37374877929688
2018-06-12,67.87364196777344,108.84783935546875
2018-06-13,67.70918273925781,108.13198852539062
2018-06-14,68.24821472167969,109.2340316772461
2018-06-15,69.28975677490234,110.02523040771484
2018-06-18,69.07964324951172,106.92633056640625
2018-06-19,67.84622192382812,103.88394165039062
2018-06-20,68.26649475097656,103.29995727539062
2018-06-21,67.55387115478516,103.71439361572266
2018-06-22,67.08792114257812,104.92947387695312
2018-06-25,66.1011734008789,103.17749786376953
