Date,AAPL,MSFT
2018-01-02,40.38098907470703,79.19833374023438
2018-01-03,40.37396240234375,79.56692504882812
2018-01-04,40.561492919921875,80.26718139648438
2018-01-05,41.02330017089844,81.26235961914062
2018-01-08,40.87092590332031,81.34528350830078
2018-01-09,40.866241455078125,81.2900161743164
2018-01-10,40.85686111450195,80.92145538330078
2018-01-11,41.08893966674805,81.16102600097656
2018-01-12,41.51322555541992,82.5616226196289
2018-01-16,41.3022575378418,81.40979766845703
2018-01-17,41.98442077636719,83.05917358398438
2018-01-18,42.02192687988281,83.0223159790039
2018-01-19,41.83439254760742,82.93020629882812
2018-01-22,41.49214553833008,84.41372680664062
2018-01-23,41.501522064208984,84.68091583251953
2018-01-24,40.840457916259766,84.60722351074219
2018-01-25,40.11141586303711,85.07718658447266
2018-01-26,40.20518112182617,86.6712417602539
2018-01-29,39.37299728393555,86.5422592163086
2018-01-30,39.14091873168945,85.45494079589844
2018-01-31,39.248748779296875,87.546630859375
2018-02-01,39.330810546875,86.8555679321289
2018-02-02,37.62423324584961,84.57035827636719
2018-02-05,36.684207916259766,81.0873031616211
2018-02-06,38.21730422973633,84.15570068359375
2018-02-07,37.399192810058594,82.57081604003906
2018-02-08,36.37009048461914,78.3321762084961
2018-02-09,36.81494140625,81.25316619873047
2018-02-12,38.29780578613281,82.12854766845703
2018-02-13,38.681453704833984,82.77352905273438
2018-02-14,39.394649505615234,84.06961822509766
2018-02-15,40.71745300292969,85.78231811523438
2018-02-16,40.585655212402344,85.17129516601562
2018-02-20,40.449134826660156,85.83787536621094
2018-02-21,40.265541076660156,84.69916534423828
2018-02-22,40.60211944580078,84.92135620117188
2018-02-23,41.30824661254883,87.07839965820312
2018-02-26,42.124996185302734,88.33746337890625
2018-02-27,41.98847579956055,87.20797729492188
2018-02-28,41.924922943115234,86.8099136352539
2018-03-01,41.19055938720703,85.95821380615234
2018-03-02,41.47536087036133,86.14337158203125
2018-03-05,41.61895751953125,86.68956756591797
2018-03-06,41.58363723754883,86.39335632324219
2018-03-07,41.1976203918457,86.89324951171875
2018-03-08,41.64718246459961,87.42092895507812
2018-03-09,42.36273193359375,89.37432098388672
2018-03-12,42.77228927612305,89.58724212646484
2018-03-13,42.360382080078125,87.40242004394531
2018-03-14,42.00025177001953,86.88397979736328
2018-03-15,42.049678802490234,87.18949890136719
2018-03-16,41.90138626098633,87.57833099365234
2018-03-19,41.261173248291016,85.99524688720703
2018-03-20,41.24705123901367,86.2174072265625
2018-03-21,40.31261444091797,85.61569213867188
2018-03-22,39.74300765991211,83.12535095214844
2018-03-23,38.82269287109375,80.70906829833984
2018-03-26,40.66567611694336,86.81919860839844
2018-03-27,39.622962951660156,82.8290786743164
2018-03-28,39.18516540527344,82.75503540039062
2018-03-29,39.49116134643555,84.49547576904297
2018-04-02,39.23224639892578,81.94960021972656
2018-04-03,39.634742736816406,83.05126953125
2018-04-04,40.39264678955078,85.47682189941406
2018-04-05,40.67274856567383,85.52308654785156
2018-04-06,39.63237380981445,83.53266906738281
2018-04-09,40.02545166015625,84.03262329101562
2018-04-10,40.778656005859375,85.98597717285156
2018-04-11,40.588016510009766,85.04171752929688
2018-04-12,40.98814392089844,86.634033203125
2018-04-13,41.12700653076172,86.171142578125
2018-04-16,41.38357162475586,87.18022918701172
2018-04-17,41.95317459106445,88.939208984375
2018-04-18,41.85902404785156,89.28173828125
2018-04-19,40.67274856567383,88.97624206542969
2018-04-20,39.00627517700195,87.9486312866211
2018-04-23,38.89330291748047,88.27265167236328
2018-04-24,38.35194778442383,86.20818328857422
2018-04-25,38.51905822753906,85.45829010009766
2018-04-26,38.653221130371094,87.26355743408203
2018-04-27,38.206016540527344,88.70774841308594
2018-04-30,38.898014068603516,86.57847595214844
2018-05-01,39.801849365234375,87.9486312866211
2018-05-02,41.56009292602539,86.5692138671875
2018-05-03,41.63541793823242,87.0876693725586
2018-05-04,43.26892852783203,88.09674072265625
2018-05-07,43.58197021484375,89.07808685302734
2018-05-08,43.791446685791016,88.6985092163086
2018-05-09,44.099796295166016,89.74464416503906
2018-05-10,44.73059844970703,90.64263153076172
2018-05-11,44.56047058105469,90.44823455810547
2018-05-14,44.45650100708008,90.75372314453125
2018-05-15,44.05247116088867,90.096435546875
2018-05-16,44.463592529296875,90.3288803100586
2018-05-17,44.18241882324219,89.42698669433594
2018-05-18,44.021751403808594,89.59432983398438
2018-05-21,44.33363342285156,90.74729919433594
2018-05-22,44.22258758544922,90.65428924560547
2018-05-23,44.506134033203125,91.73285675048828
2018-05-24,44.45650100708008,91.40740966796875
2018-05-25,44.55810546875,91.45391845703125
2018-05-29,44.39743423461914,91.12847900390625
2018-05-30,44.30292510986328,92.00249481201172
2018-05-31,44.1540641784668,91.90020751953125
2018-06-01,44.95033264160156,93.71331787109375
2018-06-04,45.32603073120117,94.53150939941406
2018-06-05,45.675724029541016,95.01499938964844
2018-06-06,45.83402633666992,95.2939453125
2018-06-07,45.71116256713867,93.79695892333984
2018-06-08,45.295310974121094,94.49433135986328
2018-06-11,45.18426513671875,93.95502471923828
2018-06-12,45.43235778808594,94.19679260253906
2018-06-13,45.059024810791016,93.76911163330078
2018-06-14,45.08265686035156,94.29906463623047
2018-06-15,44.61954116821289,93.09963989257812
2018-06-18,44.595916748046875,93.77838897705078
2018-06-19,43.87526321411133,93.77838897705078
2018-06-20,44.06664276123047,94.71748352050781
2018-06-21,43.8209114074707,94.0387191772461
2018-06-22,43.69331741333008,93.3599853515625
2018-06-25,43.043540954589844,91.48182678222656
