Date,XOM,CVX
2018-01-02,59.48668670654297,91.33626556396484
2018-01-03,60.654998779296875,92.00205993652344
2018-01-04,60.73895263671875,91.7156982421875
2018-01-05,60.689979553222656,91.5653305053711
2018-01-08,60.96281051635742,92.01636505126953
2018-01-09,60.703956604003906,91.52237701416016
2018-01-10,60.22126388549805,92.10942840576172
2018-01-11,60.81589889526367,94.90865325927734
2018-01-12,61.228668212890625,95.64605712890625
2018-01-16,60.84390640258789,94.50773620605469
2018-01-17,61.56447219848633,94.75828552246094
2018-01-18,61.165714263916016,94.20703887939453
2018-01-19,60.96980667114258,93.99947357177734
2018-01-22,61.739383697509766,94.90149688720703
2018-01-23,61.77434158325195,93.79898071289062
2018-01-24,61.93525314331055,94.06389617919922
2018-01-25,61.82331085205078,93.53410339355469
2018-01-26,62.26407241821289,93.9206771850586
2018-01-29,61.571475982666016,91.9805679321289
2018-01-30,60.71097183227539,89.65386199951172
2018-01-31,61.074764251708984,89.73976135253906
2018-02-01,62.31306076049805,89.89724731445312
2018-02-02,59.13689041137695,84.89302825927734
2018-02-05,55.771827697753906,80.62617492675781
2018-02-06,54.81337356567383,83.8907470703125
2018-02-07,53.82694625854492,82.53766632080078
2018-02-08,53.21828842163086,80.3970718383789
2018-02-09,53.55753707885742,81.2562026977539
2018-02-12,54.00984573364258,81.5998306274414
2018-02-13,53.92504119873047,81.10582733154297
2018-02-14,54.03813934326172,81.34925079345703
2018-02-15,53.86143112182617,81.36370849609375
2018-02-16,54.094661712646484,81.08173370361328
2018-02-20,53.536338806152344,80.2430191040039
2018-02-21,52.928531646728516,78.85476684570312
2018-02-22,53.61407470703125,79.45488739013672
2018-02-23,54.794342041015625,81.40709686279297
2018-02-26,55.720191955566406,82.86041259765625
2018-02-27,54.773136138916016,82.14459991455078
2018-02-28,53.529258728027344,80.92266082763672
2018-03-01,53.14762496948242,81.00943756103516
2018-03-02,53.39497375488281,80.72022247314453
2018-03-05,53.90383529663086,81.81200408935547
2018-03-06,53.84023666381836,82.17353057861328
2018-03-07,52.4832763671875,82.3108901977539
2018-03-08,52.38432312011719,81.95661163330078
2018-03-09,52.695289611816406,84.75477600097656
2018-03-12,53.175880432128906,84.4438705444336
2018-03-13,52.67409133911133,84.20527648925781
2018-03-14,52.016822814941406,83.24362182617188
2018-03-15,52.596351623535156,83.56898498535156
2018-03-16,53.091064453125,83.4388427734375
2018-03-19,52.40552520751953,82.34706115722656
2018-03-20,52.29246139526367,82.78810119628906
2018-03-21,53.03453826904297,84.62461853027344
2018-03-22,51.946144104003906,82.20968627929688
2018-03-23,51.51502990722656,81.6890640258789
2018-03-26,52.29949951171875,83.40267944335938
2018-03-27,52.08748245239258,82.90380096435547
2018-03-28,51.45847702026367,81.05280303955078
2018-03-29,52.73062515258789,82.45549774169922
2018-04-02,51.748252868652344,81.15403747558594
2018-04-03,53.02040481567383,83.02670288085938
2018-04-04,52.91439437866211,82.77365112304688
2018-04-05,53.72715759277344,84.8053970336914
2018-04-06,52.91439437866211,82.97610473632812
2018-04-09,52.91439437866211,83.85820770263672
2018-04-10,54.46924591064453,85.9333267211914
2018-04-11,54.723690032958984,86.2225570678711
2018-04-12,54.57523727416992,86.20808410644531
2018-04-13,55.01342010498047,86.70697021484375
2018-04-16,55.50816345214844,87.27095794677734
2018-04-17,55.359745025634766,87.8204574584961
2018-04-18,55.98874282836914,89.52684020996094
2018-04-19,56.13010787963867,89.44732666015625
2018-04-20,55.83327102661133,88.43505096435547
2018-04-23,56.23613357543945,89.35331726074219
2018-04-24,55.37388610839844,88.601318359375
2018-04-25,56.186641693115234,88.73148345947266
2018-04-26,57.1478271484375,89.81607055664062
2018-04-27,54.97809600830078,91.55136108398438
2018-04-30,54.94984436035156,90.45956420898438
2018-05-01,54.384437561035156,90.27880096435547
2018-05-02,54.27840042114258,90.73431396484375
2018-05-03,54.094661712646484,91.11030578613281
2018-05-04,54.349090576171875,90.76325225830078
2018-05-07,54.94276809692383,90.3366470336914
2018-05-08,55.190128326416016,91.51518249511719
2018-05-09,56.49055480957031,93.06974792480469
2018-05-10,57.75563049316406,93.14204406738281
2018-05-11,58.02689743041992,93.8795394897461
2018-05-14,58.41957473754883,94.2772216796875
2018-05-15,58.39101791381836,93.80722045898438
2018-05-16,58.55521774291992,93.6771011352539
2018-05-17,58.45524978637695,94.4210205078125
2018-05-18,58.04119110107422,93.25407409667969
2018-05-21,58.74083709716797,94.3553695678711
2018-05-22,58.28392028808594,93.52393341064453
2018-05-23,58.64802932739258,93.86673736572266
2018-05-24,57.305870056152344,92.34237670898438
2018-05-25,56.192169189453125,89.11868286132812
2018-05-29,55.98512649536133,88.53520202636719
2018-05-30,58.1839714050293,91.28485107421875
2018-05-31,57.99835968017578,90.65760803222656
2018-06-01,58.41957473754883,90.32942199707031
2018-06-04,57.805606842041016,89.16974639892578
2018-06-05,57.59858322143555,89.51251983642578
2018-06-06,58.583763122558594,89.98658752441406
2018-06-07,59.169185638427734,92.59764862060547
2018-06-08,59.683189392089844,92.2184066772461
2018-06-11,59.326229095458984,93.03527069091797
2018-06-12,58.84077072143555,92.68519592285156
2018-06-13,58.19112014770508,92.67789459228516
2018-06-14,58.462406158447266,92.26945495605469
2018-06-15,57.584285736083984,90.46797180175781
2018-06-18,57.698509216308594,91.87559509277344
2018-06-19,57.61283874511719,91.56199645996094
2018-06-20,57.43436050415039,91.37966918945312
2018-06-21,56.89180374145508,89.4104232788086
2018-06-22,58.098304748535156,91.24107360839844
2018-06-25,56.927486419677734,89.42501831054688
