Date,PG,CL
2018-01-02,73.85492706298828,62.53053665161133
2018-01-03,73.7652816772461,62.28919219970703
2018-01-04,74.28673553466797,62.68861770629883
2018-01-05,74.3355941772461,62.76351547241211
2018-01-08,74.72669982910156,62.855079650878906
2018-01-09,74.18082427978516,62.946632385253906
2018-01-10,73.70828247070312,62.26422882080078
2018-01-11,73.4475326538086,62.03953552246094
2018-01-12,73.00758361816406,62.09779739379883
2018-01-16,73.50460052490234,62.76351547241211
2018-01-17,74.30300903320312,63.81209945678711
2018-01-18,74.03209686279297,63.77047348022461
2018-01-19,74.76273345947266,64.4944839477539
2018-01-22,75.43592071533203,64.72872161865234
2018-01-23,73.10444641113281,64.32717895507812
2018-01-24,72.49695587158203,64.2435302734375
2018-01-25,72.52159118652344,64.67012786865234
2018-01-26,72.02080535888672,61.53327560424805
2018-01-29,71.30658721923828,61.72564697265625
2018-01-30,71.38047790527344,62.461761474609375
2018-01-31,70.87969970703125,62.10209274291992
2018-02-01,70.4774398803711,61.340877532958984
2018-02-02,69.16394805908203,60.588016510009766
2018-02-05,66.54517364501953,58.3963508605957
2018-02-06,67.6287841796875,58.89827346801758
2018-02-07,67.18549346923828,58.69750213623047
2018-02-08,65.85557556152344,57.67696762084961
2018-02-09,65.60929870605469,58.354549407958984
2018-02-12,66.76681518554688,58.714229583740234
2018-02-13,66.9063720703125,58.806270599365234
2018-02-14,66.23319244384766,58.23743438720703
2018-02-15,67.65343475341797,59.57584762573242
2018-02-16,67.80939483642578,59.776615142822266
2018-02-20,66.7750473022461,58.58039474487305
2018-02-21,65.87198638916016,57.83591842651367
2018-02-22,66.36454010009766,58.04503631591797
2018-02-23,66.53697967529297,58.806270599365234
2018-02-26,67.01309204101562,59.450382232666016
2018-02-27,66.11827087402344,58.48839569091797
2018-02-28,64.45997619628906,57.69370651245117
2018-03-01,64.60774993896484,57.60169219970703
2018-03-02,65.2645034790039,57.94465255737305
2018-03-05,65.91304016113281,58.61384963989258
2018-03-06,65.69139862060547,58.25417709350586
2018-03-07,64.98538208007812,58.287635803222656
2018-03-08,65.65034484863281,59.40853500366211
2018-03-09,65.91304016113281,59.59257507324219
2018-03-12,65.56002044677734,59.45872497558594
2018-03-13,65.4450912475586,59.28307342529297
2018-03-14,64.85401916503906,58.546932220458984
2018-03-15,64.58313751220703,58.18724822998047
2018-03-16,64.82941436767578,58.23743438720703
2018-03-19,64.57492065429688,58.605499267578125
2018-03-20,64.28759002685547,58.29600524902344
2018-03-21,63.2449951171875,57.459495544433594
2018-03-22,62.727806091308594,57.568233489990234
2018-03-23,62.31734848022461,57.200172424316406
2018-03-26,62.727806091308594,57.04124069213867
2018-03-27,63.860694885253906,57.95301818847656
2018-03-28,64.72267150878906,59.22452163696289
2018-03-29,65.0838851928711,59.960628509521484
2018-04-02,63.540531158447266,58.6807746887207
2018-04-03,64.41073608398438,59.34998321533203
2018-04-04,64.89508056640625,59.935546875
2018-04-05,64.6898422241211,60.06939697265625
2018-04-06,64.3860855102539,59.92717361450195
2018-04-09,64.1644515991211,59.7431640625
2018-04-10,64.33683776855469,60.00246047973633
2018-04-11,64.2547607421875,59.70968246459961
2018-04-12,63.860694885253906,59.34161376953125
2018-04-13,64.33683776855469,59.89371871948242
2018-04-16,64.53388214111328,60.59636688232422
2018-04-17,64.3860855102539,60.420711517333984
2018-04-18,64.197265625,60.29524230957031
2018-04-19,62.098594665527344,58.70496368408203
2018-04-20,61.14580154418945,56.811798095703125
2018-04-23,60.48297119140625,55.844200134277344
2018-04-24,60.068702697753906,56.06294631958008
2018-04-25,59.902992248535156,55.877845764160156
2018-04-26,60.27583312988281,56.02928924560547
2018-04-27,60.3255500793457,56.02089309692383
2018-04-30,59.93613052368164,54.884986877441406
2018-05-01,59.62130355834961,54.69145965576172
2018-05-02,58.77618408203125,53.126441955566406
2018-05-03,59.12416076660156,53.277889251708984
2018-05-04,60.010704040527344,53.606048583984375
2018-05-07,59.63786697387695,52.8571891784668
2018-05-08,59.19045639038086,52.402835845947266
2018-05-09,59.960994720458984,52.091514587402344
2018-05-10,60.60723876953125,52.57111358642578
2018-05-11,60.78950881958008,52.764644622802734
2018-05-14,60.7149543762207,52.20090103149414
2018-05-15,60.441532135009766,51.872737884521484
2018-05-16,60.922096252441406,52.24296569824219
2018-05-17,61.27836990356445,52.4112548828125
2018-05-18,60.85578536987305,52.352352142333984
2018-05-21,61.361202239990234,52.37759780883789
2018-05-22,61.33635330200195,52.5122184753418
2018-05-23,61.46062469482422,52.77305221557617
2018-05-24,61.120933532714844,52.57953643798828
2018-05-25,61.5683479309082,53.63970184326172
2018-05-29,61.3529167175293,53.47983932495117
2018-05-30,62.04888153076172,54.17820358276367
2018-05-31,60.62382125854492,53.08436965942383
2018-06-01,60.85578536987305,52.747798919677734
2018-06-04,61.46062469482422,52.764644622802734
2018-06-05,61.28663635253906,52.4112548828125
2018-06-06,61.601470947265625,52.6468505859375
2018-06-07,62.769710540771484,52.806705474853516
2018-06-08,63.94623947143555,53.294734954833984
2018-06-11,64.2362289428711,53.63970184326172
2018-06-12,63.99595260620117,53.62287139892578
2018-06-13,63.35797119140625,53.05913543701172
2018-06-14,62.96028518676758,53.26948547363281
2018-06-15,64.11195373535156,54.46428680419922
2018-06-18,62.836021423339844,53.26948547363281
2018-06-19,63.241973876953125,53.85005187988281
2018-06-20,62.844268798828125,53.765907287597656
2018-06-21,63.333126068115234,53.42094421386719
2018-06-22,64.15336608886719,54.3801383972168
2018-06-25,64.45165252685547,54.784019470214844
