Date,PM,MO
2018-01-02,69.39877319335938,39.69880294799805
2018-01-03,69.31233978271484,39.55288314819336
2018-01-04,68.78716278076172,39.395748138427734
2018-01-05,69.33894348144531,39.507991790771484
2018-01-08,69.23257446289062,39.45747756958008
2018-01-09,69.73116302490234,39.04220199584961
2018-01-10,70.22314453125,39.446258544921875
2018-01-11,69.71122741699219,39.446258544921875
2018-01-12,69.4719009399414,39.06464385986328
2018-01-16,69.7178726196289,38.67741394042969
2018-01-17,70.32950592041016,39.367698669433594
2018-01-18,69.85084533691406,39.30033874511719
2018-01-19,72.41033172607422,39.912052154541016
2018-01-22,72.33721160888672,40.00184631347656
2018-01-23,72.81585693359375,40.09723663330078
2018-01-24,73.52719116210938,40.158966064453125
2018-01-25,71.45964813232422,39.23300552368164
2018-01-26,73.25462341308594,39.855926513671875
2018-01-29,72.20423126220703,39.18809509277344
2018-01-30,71.75881958007812,39.18250274658203
2018-01-31,71.28679656982422,39.47431182861328
2018-02-01,69.91731262207031,39.244232177734375
2018-02-02,68.76720428466797,38.94679260253906
2018-02-05,65.60938262939453,37.061195373535156
2018-02-06,66.69967651367188,37.33617401123047
2018-02-07,65.73570251464844,37.48208236694336
2018-02-08,66.73956298828125,35.94441223144531
2018-02-09,66.44039916992188,35.933189392089844
2018-02-12,68.07581329345703,36.6739616394043
2018-02-13,68.50791931152344,36.83671569824219
2018-02-14,68.16888427734375,36.57856750488281
2018-02-15,68.93341827392578,36.65713882446289
2018-02-16,69.34556579589844,36.73569869995117
2018-02-20,68.37498474121094,36.022979736328125
2018-02-21,68.95335388183594,35.877079010009766
2018-02-22,68.4614028930664,35.545963287353516
2018-02-23,70.54224395751953,36.247467041015625
2018-02-26,70.92118072509766,36.71886444091797
2018-02-27,69.19267272949219,35.91634750366211
2018-02-28,68.84034729003906,35.32709503173828
2018-03-01,69.59156036376953,35.035282135009766
2018-03-02,71.00757598876953,35.10262680053711
2018-03-05,71.5992660522461,35.989315032958984
2018-03-06,71.78540802001953,36.34847640991211
2018-03-07,71.060791015625,35.95563888549805
2018-03-08,72.4635009765625,36.71886444091797
2018-03-09,71.99816131591797,36.84231948852539
2018-03-12,71.22697448730469,36.90966033935547
2018-03-13,71.2934799194336,37.111698150634766
2018-03-14,70.20982360839844,36.19851303100586
2018-03-15,69.79765319824219,36.192840576171875
2018-03-16,68.7804946899414,35.8411750793457
2018-03-19,67.63704681396484,35.43846130371094
2018-03-20,66.65979766845703,34.893959045410156
2018-03-21,65.68543243408203,34.03181838989258
2018-03-22,65.63166809082031,34.253021240234375
2018-03-23,64.26082611083984,33.61776351928711
2018-03-26,64.74464416503906,33.804935455322266
2018-03-27,65.00003051757812,34.4401969909668
2018-03-28,67.05622863769531,35.42145538330078
2018-03-29,66.79417419433594,35.34770965576172
2018-04-02,65.54430389404297,34.32108688354492
2018-04-03,67.09656524658203,35.54056167602539
2018-04-04,67.81558227539062,35.93193054199219
2018-04-05,68.33971405029297,36.60689163208008
2018-04-06,67.88276672363281,36.21552276611328
2018-04-09,67.66775512695312,35.87520980834961
2018-04-10,67.93653106689453,36.425392150878906
2018-04-11,67.68116760253906,36.20985412597656
2018-04-12,67.36534118652344,35.96028137207031
2018-04-13,68.44050598144531,36.27223587036133
2018-04-16,69.1796875,36.442405700683594
2018-04-17,69.41486358642578,36.28926467895508
2018-04-18,68.16500091552734,34.88260269165039
2018-04-19,57.547828674316406,32.77264404296875
2018-04-20,56.62722396850586,32.4606819152832
2018-04-23,56.224021911621094,32.086326599121094
2018-04-24,55.43111038208008,31.365989685058594
2018-04-25,54.97416305541992,31.672269821166992
2018-04-26,54.759124755859375,31.065372467041016
2018-04-27,55.478126525878906,31.83676528930664
2018-04-30,55.101837158203125,31.825422286987305
2018-05-01,54.56426239013672,31.780046463012695
2018-05-02,53.82509231567383,31.587200164794922
2018-05-03,54.053558349609375,31.967222213745117
2018-05-04,55.01449203491211,31.910499572753906
2018-05-07,54.7725830078125,31.598535537719727
2018-05-08,54.30218505859375,31.348981857299805
2018-05-09,55.095123291015625,31.717653274536133
2018-05-10,55.773807525634766,31.785720825195312
2018-05-11,54.56426239013672,31.303600311279297
2018-05-14,54.33578872680664,31.207176208496094
2018-05-15,53.710845947265625,30.923580169677734
2018-05-16,54.355953216552734,31.122093200683594
2018-05-17,54.45675277709961,31.36031723022461
2018-05-18,54.261871337890625,31.502119064331055
2018-05-21,53.85868453979492,31.558837890625
2018-05-22,53.6705322265625,31.314945220947266
2018-05-23,54.90024185180664,31.69497299194336
2018-05-24,54.83977508544922,31.70064353942871
2018-05-25,53.98636245727539,31.553165435791016
2018-05-29,53.267356872558594,31.609891891479492
2018-05-30,53.97291564941406,32.09767532348633
2018-05-31,53.448787689208984,31.615558624267578
2018-06-01,52.534908294677734,31.60421371459961
2018-06-04,52.689453125,31.774372100830078
2018-06-05,52.08469009399414,31.95020866394043
2018-06-06,51.64117431640625,31.938867568969727
2018-06-07,52.004024505615234,32.154396057128906
2018-06-08,53.36814498901367,32.73293685913086
2018-06-11,54.07371139526367,33.03921890258789
2018-06-12,53.97291564941406,32.8293571472168
2018-06-13,53.82509231567383,32.57411575317383
2018-06-14,54.32906723022461,32.55689239501953
2018-06-15,55.021209716796875,33.182777404785156
2018-06-18,53.77804183959961,32.49947738647461
2018-06-19,54.32234191894531,32.60857009887695
2018-06-20,54.933837890625,32.58560562133789
2018-06-21,54.156959533691406,32.551151275634766
2018-06-22,54.647640228271484,32.74064254760742
2018-06-25,54.49768829345703,32.76934814453125
