Date,GOOGL,META
2018-01-02,53.292930603027344,180.30844116210938
2018-01-03,54.2021598815918,183.53854370117188
2018-01-04,54.41271209716797,183.2006072998047
2018-01-05,55.13423156738281,185.70518493652344
2018-01-08,55.328887939453125,187.1264190673828
2018-01-09,55.25838088989258,186.71890258789062
2018-01-10,55.12678146362305,186.68911743164062
2018-01-11,55.22163391113281,186.61952209472656
2018-01-12,56.145259857177734,178.27099609375
2018-01-16,56.14773941040039,177.29701232910156
2018-01-17,56.56486892700195,176.51185607910156
2018-01-18,56.4094352722168,178.6983642578125
2018-01-19,56.78335952758789,180.17922973632812
2018-01-22,57.80928039550781,184.23426818847656
2018-01-23,58.405670166015625,188.1898651123047
2018-01-24,58.16333770751953,185.4070281982422
2018-01-25,58.702125549316406,186.33131408691406
2018-01-26,58.97126770019531,188.83587646484375
2018-01-29,58.917640686035156,184.84051513671875
2018-01-30,58.46525955200195,185.9735107421875
2018-01-31,58.706092834472656,185.7449188232422
2018-02-01,58.67481231689453,191.90695190429688
2018-02-02,55.57667922973633,189.11415100097656
2018-02-05,52.755638122558594,180.14942932128906
2018-02-06,53.85009002685547,184.1746063232422
2018-02-07,52.40903091430664,179.07603454589844
2018-02-08,50.04037094116211,170.5287322998047
2018-02-09,51.95515823364258,175.03099060058594
2018-02-12,52.366825103759766,175.3291473388672
2018-02-13,52.34596633911133,172.089111328125
2018-02-14,53.267601013183594,178.42007446289062
2018-02-15,54.194217681884766,178.85740661621094
2018-02-16,54.39979934692383,176.2733154296875
2018-02-20,54.80152893066406,174.9315948486328
2018-02-21,55.30604553222656,176.8199462890625
2018-02-22,55.114864349365234,177.89334106445312
2018-02-23,56.01813507080078,182.16697692871094
2018-02-26,56.79329299926758,183.7969512939453
2018-02-27,55.492759704589844,180.3482208251953
2018-02-28,54.81791305541992,177.22744750976562
2018-03-01,53.20355224609375,174.86203002929688
2018-03-02,53.835689544677734,175.537841796875
2018-03-05,54.36305236816406,179.294677734375
2018-03-06,54.667945861816406,178.67849731445312
2018-03-07,55.3701057434082,182.5844268798828
2018-03-08,56.08219528198242,181.22280883789062
2018-03-09,57.64441680908203,184.09510803222656
2018-03-12,57.89718246459961,183.62796020507812
2018-03-13,56.60508728027344,180.765625
2018-03-14,57.0510139465332,183.06149291992188
2018-03-15,57.13642120361328,182.73348999023438
2018-03-16,56.33246612548828,183.95596313476562
2018-03-19,54.62673568725586,171.5027313232422
2018-03-20,54.414695739746094,167.1197509765625
2018-03-21,54.325313568115234,168.35215759277344
2018-03-22,52.29680252075195,163.8797149658203
2018-03-23,50.975914001464844,158.41342163085938
2018-03-26,52.343482971191406,159.07931518554688
2018-03-27,50.00213623046875,151.287353515625
2018-03-28,49.914730072021484,152.09239196777344
2018-03-29,51.50178527832031,158.8109588623047
2018-04-02,50.2846794128418,154.4379119873047
2018-04-03,50.58510971069336,155.1535186767578
2018-04-04,51.13283157348633,154.14971923828125
2018-04-05,51.27832794189453,158.36373901367188
2018-04-06,50.15160369873047,156.23683166503906
2018-04-09,50.655128479003906,156.96237182617188
2018-04-10,51.470008850097656,164.02882385253906
2018-04-11,50.901920318603516,165.3009490966797
2018-04-12,51.50923538208008,162.86595153808594
2018-04-13,51.44715881347656,163.51199340820312
2018-04-16,51.94672393798828,163.82009887695312
2018-04-17,53.598323822021484,167.6266326904297
2018-04-18,53.401187896728516,165.34071350097656
2018-04-19,54.099369049072266,167.07008361816406
2018-04-20,53.49702453613281,165.26119995117188
2018-04-23,53.322723388671875,164.8238983154297
2018-04-24,50.78175354003906,158.7115936279297
2018-04-25,50.79913330078125,158.7115936279297
2018-04-26,51.80817413330078,173.0929412841797
2018-04-27,51.21923065185547,172.5264129638672
2018-04-30,50.58014678955078,170.9461669921875
2018-05-01,51.68104934692383,172.7947998046875
2018-05-02,50.95108413696289,174.99124145507812
2018-05-03,50.9635009765625,172.9537811279297
2018-05-04,52.19003677368164,175.5279541015625
2018-05-07,52.610137939453125,176.8795928955078
2018-05-08,52.56693649291992,177.82376098632812
2018-05-09,54.07453918457031,181.54086303710938
2018-05-10,54.8948860168457,184.39328002929688
2018-05-11,54.791099548339844,185.8443145751953
2018-05-14,54.95100021362305,185.49649047851562
2018-05-15,53.87194061279297,183.19070434570312
2018-05-16,53.83320617675781,182.07752990722656
2018-05-17,53.69266891479492,182.63414001464844
2018-05-18,53.11565399169922,181.56072998046875
2018-05-21,53.8292350769043,183.35963439941406
2018-05-22,53.397212982177734,182.6738739013672
2018-05-23,53.92606735229492,185.7548828125
2018-05-24,53.90073776245117,184.79080200195312
2018-05-25,53.83271026611328,183.7869873046875
2018-05-29,53.03769302368164,184.6019744873047
2018-05-30,53.50447463989258,186.52015686035156
2018-05-31,54.62325668334961,190.60498046875
2018-06-01,56.36127471923828,192.8014373779297
2018-06-04,57.2570915222168,192.09580993652344
2018-06-05,57.15678024291992,191.75787353515625
2018-06-06,56.954673767089844,190.16766357421875
2018-06-07,56.33246612548828,187.02703857421875
2018-06-08,56.24755859375,187.94140625
2018-06-11,56.65425109863281,190.36643981933594
2018-06-12,57.016258239746094,191.22119140625
2018-06-13,56.81960678100586,191.23110961914062
2018-06-14,57.60817337036133,195.60414123535156
2018-06-15,57.566463470458984,194.65003967285156
2018-06-18,58.77363586425781,197.094970703125
2018-06-19,58.53080368041992,196.2799835205078
2018-06-20,58.79795837402344,200.76235961914062
2018-06-21,58.071475982666016,200.2654266357422
2018-06-22,58.064022064208984,200.5039520263672
2018-06-25,56.57379913330078,195.14697265625
