Date,SLB,HAL
2018-01-02,55.69707107543945,42.53623962402344
2018-01-03,57.14719772338867,43.29935836791992
2018-01-04,58.56526184082031,44.268218994140625
2018-01-05,58.965850830078125,44.43113327026367
2018-01-08,59.92725372314453,44.8341178894043
2018-01-09,60.007354736328125,44.67978286743164
2018-01-10,60.568180084228516,44.98844909667969
2018-01-11,61.72986602783203,45.725826263427734
2018-01-12,62.46695327758789,45.56291198730469
2018-01-16,61.82600784301758,44.696929931640625
2018-01-17,61.85806655883789,45.314266204833984
2018-01-18,61.185096740722656,44.89413833618164
2018-01-19,61.22513961791992,45.45145034790039
2018-01-22,63.925071716308594,48.35807418823242
2018-01-23,63.460384368896484,48.726768493652344
2018-01-24,62.635189056396484,47.449222564697266
2018-01-25,61.954185485839844,47.32918930053711
2018-01-26,62.178524017333984,47.68072509765625
2018-01-29,61.19308090209961,46.9862174987793
2018-01-30,59.71894836425781,46.42033386230469
2018-01-31,58.949825286865234,46.043060302734375
2018-02-01,60.49608612060547,46.73756408691406
2018-02-02,59.03795623779297,44.74837875366211
2018-02-05,57.16322326660156,42.90494155883789
2018-02-06,57.316524505615234,43.410804748535156
2018-02-07,56.27571487426758,42.604835510253906
2018-02-08,54.379695892333984,40.64993667602539
2018-02-09,52.59662628173828,40.041168212890625
2018-02-12,53.92786407470703,41.087223052978516
2018-02-13,53.18559646606445,40.6328010559082
2018-02-14,53.14524841308594,41.044349670410156
2018-02-15,53.41956329345703,40.2040901184082
2018-02-16,53.47605514526367,40.727108001708984
2018-02-20,52.93548583984375,40.435585021972656
2018-02-21,51.959228515625,39.91257095336914
2018-02-22,52.411048889160156,40.40986251831055
2018-02-23,53.6535530090332,41.54164505004883
2018-02-26,53.83912658691406,41.35302734375
2018-02-27,53.984352111816406,40.82999801635742
2018-02-28,52.959686279296875,39.80109786987305
2018-03-01,52.62083435058594,39.466712951660156
2018-03-02,52.82252883911133,39.466712951660156
2018-03-05,53.37923812866211,39.66391372680664
2018-03-06,53.758445739746094,39.52619171142578
2018-03-07,53.43570327758789,39.44873046875
2018-03-08,53.84718704223633,39.603668212890625
2018-03-09,55.49311065673828,40.44720458984375
2018-03-12,54.936397552490234,40.3869514465332
2018-03-13,54.16992950439453,39.68113327026367
2018-03-14,53.59708023071289,39.80165100097656
2018-03-15,52.72570037841797,38.98392105102539
2018-03-16,53.33082962036133,39.51759719848633
2018-03-19,52.201263427734375,38.458839416503906
2018-03-20,52.89512634277344,39.15607452392578
2018-03-21,54.65400314331055,40.55049514770508
2018-03-22,52.86286163330078,39.92213821411133
2018-03-23,51.74946212768555,39.97378921508789
2018-03-26,52.00764083862305,40.6365852355957
2018-03-27,52.023780822753906,40.3525276184082
2018-03-28,50.999114990234375,39.63809585571289
2018-03-29,52.26581954956055,40.404170989990234
2018-04-02,51.216957092285156,39.67251205444336
2018-04-03,52.27389907836914,40.28366470336914
2018-04-04,52.290035247802734,40.26644515991211
2018-04-05,53.0645637512207,41.041133880615234
2018-04-06,51.92695999145508,40.45581817626953
2018-04-09,51.846282958984375,40.077083587646484
2018-04-10,53.822975158691406,42.02240753173828
2018-04-11,54.500728607177734,42.685184478759766
2018-04-12,54.5087890625,43.2188606262207
2018-04-13,54.82344436645508,43.709495544433594
2018-04-16,55.283329010009766,43.69228744506836
2018-04-17,55.396297454833984,43.80418014526367
2018-04-18,56.75173568725586,44.837093353271484
2018-04-19,56.70332717895508,44.76823425292969
2018-04-20,55.856170654296875,44.72519302368164
2018-04-23,55.597984313964844,44.80266571044922
2018-04-24,55.089691162109375,44.217350006103516
2018-04-25,55.75128173828125,44.54443359375
2018-04-26,56.049808502197266,45.27608108520508
2018-04-27,55.73514938354492,45.474063873291016
2018-04-30,55.31559371948242,45.611785888671875
2018-05-01,55.186519622802734,45.138362884521484
2018-05-02,55.396297454833984,45.31052017211914
2018-05-03,54.63786315917969,45.02647399902344
2018-05-04,55.50117111206055,44.92317581176758
2018-05-07,55.840023040771484,44.78544998168945
2018-05-08,56.106285095214844,44.647727966308594
2018-05-09,57.18741989135742,45.36216735839844
2018-05-10,57.38105773925781,45.370765686035156
2018-05-11,57.348793029785156,45.000648498535156
2018-05-14,57.76835250854492,45.189998626708984
2018-05-15,57.76835250854492,45.37938690185547
2018-05-16,58.98663330078125,45.594566345214844
2018-05-17,60.051639556884766,46.79962921142578
2018-05-18,59.938690185546875,46.756591796875
2018-05-21,60.53574752807617,46.82546615600586
2018-05-22,59.48686599731445,45.826969146728516
2018-05-23,59.260955810546875,45.551536560058594
2018-05-24,57.46175003051758,44.99202346801758
2018-05-25,55.34786605834961,43.20165252685547
2018-05-29,54.92026901245117,42.831520080566406
2018-05-30,56.05786895751953,43.391014099121094
2018-05-31,55.40435028076172,42.81430435180664
2018-06-01,55.638328552246094,42.24620819091797
2018-06-04,55.72707748413086,41.2735481262207
2018-06-05,55.6376838684082,41.359947204589844
2018-06-06,55.98714828491211,41.7314567565918
2018-06-07,56.56417465209961,42.27579116821289
2018-06-08,56.426025390625,41.55866241455078
2018-06-11,56.78359603881836,41.35131072998047
2018-06-12,55.7514533996582,41.35131072998047
2018-06-13,55.23946762084961,41.1871337890625
2018-06-14,55.53203201293945,41.238975524902344
2018-06-15,54.31298828125,40.26264953613281
2018-06-18,54.483638763427734,40.27993392944336
2018-06-19,53.39462661743164,39.83928680419922
2018-06-20,53.27272033691406,39.493682861328125
2018-06-21,52.655067443847656,38.81112289428711
2018-06-22,54.10980224609375,39.934329986572266
2018-06-25,53.175193786621094,39.08760452270508
